CH01   95.33  7.46  2
CH02   94.40  5.85  2
CH03   94.40  9.08  2
CH04   93.47  7.46  2
CH05   92.53  5.85  2
CH06   92.53  9.08  2
CH07   91.60  7.46  2
CH08   90.67  5.85  2
CH09   90.67  9.08  2
CH10   96.26  5.85  2
CH11   96.26  9.08  2
CH12   97.20  7.47  2
CH13   98.13  5.85  2
CH14   98.13  9.08  2
CH15   99.07  7.47  2
CH16  100.00  5.85  2
CH17  100.00  9.08  2
CH18   89.73  7.46  2
CH19   88.81  9.08  2
CH20   87.87  5.85  2
H0 103.73 -0.62 1
H1 103.73 2.62 1
H3 102.8 1.0 1
H4 102.8 4.23 1
H5 101.87 -0.62 1
H6 101.87 2.62 1
H8 100.93 1.0 1
H9 100.93 4.23 1
I0 100.0 -0.62 1
I1 100.0 2.62 1
I3 99.07 1.0 1
I4 99.07 4.23 1
I5 98.13 -0.62 1
I6 98.13 2.62 1
I8 97.2 1.0 1
I9 97.2 4.23 1
J0 96.27 -0.62 1
J1 96.27 2.62 1
J3 95.33 1.0 1
J4 95.33 4.23 1
J5 94.4 -0.62 1
J6 94.4 2.62 1
J8 93.47 1.0 1
J9 93.47 4.23 1
K0 92.53 -0.62 1
K1 92.53 2.62 1
K3 91.6 1.0 1
K4 91.6 4.23 1
K5 90.67 -0.62 1
K6 90.67 2.62 1
K8 89.73 1.0 1
K9 89.73 4.23 1
L0 88.8 -0.62 1
L1 88.8 2.62 1
L3 87.87 1.0 1
L4 87.87 4.23 1
L5 86.93 -0.62 1
L6 86.93 2.62 1
L8 86.0 1.0 1
L9 86.0 4.23 1
M1 85.07 2.62 1
